회사이름,채용정보,채용조건,Job Sector
(주)유엔에이엔지니어링관심기업 등록에스케이그룹대기업,신입 및 경력직원 채용공고스크랩,경기 군포시 외신입 · 경력 · 정규직 외학력무관,"기술지원, 백엔드/서버개발, 웹마스터, 유지보수, 정보보안"
주식회사썬테크관심기업 등록,"3조2교대 생산직(기숙사1인실,가불)스크랩",경북 구미시 외경력무관 · 정규직학력무관,"임베디드, 기계조작원, 단순생산직, 생산관리, 외관검사원"
주식회사에이치에스관심기업 등록,생산직 3조 2교대 사원 모집 (1인실기숙사/가불 가능)스크랩,경북 구미시 외경력무관 · 정규직학력무관,"임베디드, 기계조작원, 단순생산직, 생산관리, 외관검사원"
엘브이아이에스코리아(주)관심기업 등록외국계,(AI/헬스케어) 시니어 소프트웨어 QA 엔지니어 모집스크랩,서울 서초구 외경력 8년↑ · 정규직 외대학교(4년)↑,"QA/테스터, CSS, CSS3, HTML, Java"
엘브이아이에스코리아(주)관심기업 등록외국계,(AI/Healthcare) 멀티미디어 디자이너 모집스크랩,서울 서초구 외경력 3년↑ · 정규직 외대학교(4년)↑,"영상디자이너, 뉴미디어, 영상편집, SNS마케팅, 기업홍보"
엘브이아이에스코리아(주)관심기업 등록외국계,(AI/Healthcare) Frontend 엔지니어 개발자 모집스크랩,서울 서초구 외경력 3년↑ · 정규직 외대학교(4년)↑,"웹개발, 프론트엔드, 클라우드, Angular, CSS3"
엘브이아이에스코리아(주)관심기업 등록외국계,(AI/Healthcare) Backend 엔지니어 경력 모집스크랩,서울 서초구 외경력 5년↑ · 정규직 외대학교(4년)↑,"백엔드/서버개발, 웹개발, 클라우드, RDBMS, AWS"
(주)와이에이치데이타베이스관심기업 등록,웹 개발자(Spring/Java) 채용스크랩,"대구 수성구경력무관 · 정규직대학(2,3년)↑","웹개발, 정보보안, Git, Java, Javascript"
(주)도구공간관심기업 등록,[로봇 전문기업 도구공간] 서비스 운영 매니저 (대구근무)스크랩,대구 북구경력무관 · 정규직학력무관,"유지보수, 솔루션, 임베디드, H/W, IoT"
(주)한맥아이피에스관심기업 등록,연구개발부(웹 개발/모바일 개발) 신입•경력 채용스크랩,대구전체 외신입 · 경력 · 정규직학력무관,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 프론트엔드"
한국자동차연구원관심기업 등록,2024년도 10월 별정직(계약직) 직원 모집스크랩,"대구전체 외경력무관 · 계약직대학(2,3년)↑","머신러닝, 빅데이터, 임베디드, 자율주행, 정보통신"
울산과학기술원관심기업 등록,2024년 울산과학기술원 2차 직원 채용 공고스크랩,대구전체 외경력무관 · 정규직 외학력무관,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 빅데이터, 클라우드"
(주)우진플라임관심기업 등록대기업,㈜우진플라임 부문별 인재채용스크랩,대구전체 외신입 · 경력 · 정규직학력무관,"게임개발, 데이터분석가, 백엔드/서버개발, 앱개발, 웹개발"
(주)엔유씨전자관심기업 등록,㈜엔유씨전자 각 부문 신입 및 경력 채용스크랩,"대구전체 외신입 · 경력 · 정규직대학(2,3년)↑","웹표준·웹접근성, 무역사무원, 영업관리, 영업지원, 영업직"
(주)지비소프트관심기업 등록,솔루션 개발 기획 및 프로젝트 관리 담당자 채용(대구근무)스크랩,대구 수성구경력무관 · 정규직대학교(4년)↑,"데이터분석가, 기술기획, 상품기획, 서비스기획, 앱기획"
(주)제이브이엠관심기업 등록한미사이언스그룹코스닥,2024년 제이브이엠 하반기 채용스크랩,대구전체 외신입 · 경력 · 정규직 외학력무관,"데이터엔지니어, SE(시스템엔지니어), 펌웨어, S/W, SOA"
